7LC-4-015600500203652375SS,26 Gauge Pre Formed Stainless Steel Flashing 5'' x 2'' x 4'' w/ 1/2 Lip and 1/4 Hem,7LC
7LC-4-016257OZCCF,16 '' X 25 ' 7 OUNCE COPPER COATED FLASHING,7LC
7LC-4-0180255OZCOFAB,18'' X 25'  5 oz COPPER FABRIC FLASHING,7LC
7LC-4-018075NODRLFLSH,"SANDELL NO DROOL FLASHING 18'' X 75' ROLLS
(112.5 SF PER ROLL)",7LC
7LC-4-0240255OZCOFAB,24'' X 25 '  5 OUNCE COPPER FLASHING,7LC
7LC-4-125150150UPDN075SG,"1/8'' X 1 1/2'' LEG 5/16'' O.C. HOLE X 1 1/2'' 
WIDE X 8'' X 3/4 UP & DOWN SHEET GALV
SPLIT TAIL ANCHOR",7LC
7LC-4-1751375100150SPTLANSS,"1 3/4'' X 1 3/8'' X 1'' X 1 1/2'' WITH 3/4'' UP & DOWN
STAINLESS STEEL SPLIT TAIL ANCHOR",7LC
7LC-4200-TB-SS,#4200 TRIM BAR  STAINLESS STEEL,7LC
7LC-4-3X3X3SANDENDDAM,3'' X 3'' X 3'' SANDOSEAL END DAM,7LC
7LC-49652,1/2 x 2-1/8 FERRULE LOOP ZINC,7LC
7LC-49654,3/4 x 3'' FERRULE LOOP INSERT ZINC,7LC
7LC-4-COPMASTIC,COPPER FLASHING MASTIC 5 GAL PAIL,7LC
7LC-4-DBLSPLTTL15017150GALV,"1 1/2''WIDE X 17'' LONG X 3/4'' UP & DOWN DOUBLE SIDED 
SPLIT TAIL SHEET GALVANIZED",7LC
7LC-4-FLTSPTTAL1251500087,"FLAT SPLIT TAIL 1 1/2'' WIDE X 8'' LONG X 3/4'' UP & DOWN
5/16'' HOLE SHEET GALVANIZED",7LC
7LC-4-LTYP01500425MG,Screw on L-Type Stone Anchor 1/8 '' Thick 1 1/2 '' X 4 1/4 '' With 3/4 '' Leg 2 - 1/4 '' Holes 3/4 '' In On Flat End And 1/2 '' Down On Leg Sheet Galv.,7LC
7LC-4-SCRW#10X150STDHXHD,"#10 X 1 1/2'' TAPPING/WOOD SCREW
STANDARD COATING HEX HEAD W/ 
BONDED WASHER",7LC
7LC-4-SCRW.10.015PANWD,MASTER GRIPPER FOR WOOD # 10 X 1 1/2 '' PANCAKE HEAD NO WASHER JS500 COATING (3000 PER BOX),7LC
7LC-4-SPLIT015003870100GAL,Split Tail Clip  16 gauge 1 1/2'' x 3 7/8'' x 1''   3/16'' hole  Galv,7LC
7LC-4-SPLIT015008000100GAL,Split Tail Clip  16 gauge 1 1/2'' x 8'' x 1''     Galv,7LC
7LC-4-SPLIT015008000150GAL,Split Tail Clip  16 gauge 1 1/2'' x 8'' x 1 1/2''     Galv,7LC
7LC-4SPLIT0150X0293-GALV,Split Tail Clip  16 gauge 1 1/2'' x 2 15/16'' w/45 & 90 Bends  3/16'' hole 1 end Galv,7LC
7LC-4-SPTLSS0150875015075UD,"1/8'' THICK X 1 1/2'' X 7/8'' X 1 1/2'' WIDE X 3/4'' UP AND DOWN
SPLIT TAIL ANCHOR STAINLESS STEEL",7LC
7LC-4-SSPAN2060125,"26 GA STAINLESS STEEL PAN 
2'' X 6 1/8'' NO DRIP",7LC
7LC-4-SSPAN270125,"26 GA STAINLESS STEEL PAN
2'' X 7 1/8'' NO DRIP",7LC
7LC-4-SSPANISDCORN,"26 GA STAINLESS STEEL PAN INSIDE CORNER
2'' X 7 1/8'' X 10'' EACH WAY NO DRIP",7LC
7LC-4-SSPANOSDCORN206125,"26GA STAINLESS STEEL PAN OUTSIDE CORNER
2'' X 5 3/4'' X 10'' EACH WAY NOR DRIP",7LC
7LC-4-SSPANSDCORN,"26 GA STAINLESS STEEL PAN OUTSIDE CORNER
2'' X 7 1/8'' X 10'' EACH WAY NO DRIP",7LC
7LC-4-SSTERMBAR,"STAINLESS STEEL TERM BAR T-2  
1/8'' x 1'' x 10'",7LC
7LC-4-SSUAN.125.001.075.075.01,"1/8'' THICK 1'' WIDE X 3/4'' UP & DOWN
BOTH ENDS X 18'' MIDDLE
STAINLESS STEEL U-TYPE ANCHOR",7LC
7LC-4-UTYP0150350MG,Screw Anchor U Type 1/8 '' Thick 1 1/2 '' X 1/2 '' Up X 3 1/2 '' X 3/4 '' Up  1 - 1/4 '' Hole 1/2 '' down On 3/4 '' Leg Sheet Galv.,7LC
7LC-4-ZANC200150062SS,1/8'' X 1 1/2 WIDE'' UP X 2'' LONG X 5/8'' DOWN WITH A 7/16'' HOLE,7LC
7LC-620100CSRF,20' X 100' STRING REINFORCED POLY,7LC
7LC-6-TYTPCOM020055,"TYVEK COMMERCIAL TAPE
2'' X 55 YDS",7LC
7LC-6-TYVKCOM0100125,"TYVEK COMMERCIAL WRAP
10' X 125' ROLL",7LC
7LC-7PACELDG5GAL,"PACIFIC POLYMERS ELASTO-MAT
D&G SL, V OR T GRADE 
5 GALLON PAIL",7LC
7LC-7-PCII4X8,PCII 4X8 SHEET,7LC
7LC-7-PL200QT,PL-200 ADHESIVE QUART TUBE,7LC
7LC-7-PRAQASIL40-55,PRICE AQUA SILANE 40 WATER-BASED SILANE CLEAR WATER REPELLENT  55 GALLON,7LC
7LC-7-PRCAQSEL40-55,PRICE AQUA SEAL - 40 % PENETRATING SILANE V.O.C. COMPLIANT 55 - GALLON DRUM,7LC
7LC-7-PRICSILXANEWB100-5,PRICE RESEARCH PRICE SEAL SILOXANE WB - 100 CONCENTRATE,7LC
7LC-7-SSPPCLMP375,3 3/4'' STAINLESS STEEL PIPE CLAMP,7LC
7LC-7-SSPPCLMP412-7,4 1/8''-7'' STAINLESS STEEL PIPE CLAMP,7LC
7LC-7-WARRANTY,HENRY GOLD SEAL WARRANTY,7LC
7LC-80G582-OS-2,1-5/8 '' GALV. 12 GA STRUT EH 10',7LC
7LC-83104101,1/2 B-3034D PLN BEAM CLAMP,7LC
7LC-8545005,1/2 '' N225 PLTD SPRING NUT,7LC
7LC-ATS506P,ACRYLIC-TIE SCREEN TUBE 1/2 x 6'' PLASTIC,7LC
7LC-BH200SA930,BLUESKIN SA 4'' X 75' ROLL,7CONCRETE
7LC-BOLT .05.08 CARBOLT,1/2 '' X 8 '' CARRIAGE BOLT ZINC,7LC
7LC-BOLT.05.05HEX,1/2 '' X 5 '' HEX HEAD BOLT ZINC,7LC
7LC-BOLT.05.08HEX,1/2 '' X 8 '' HEX HEAD BOLT ZINC,7LC
7LC-BOLT.625.05HEX,5/8 '' X 5 '' HEX HEAD BOLT ZINC,7LC
7LC-BOXVOID.04.01.04,BOX VOID 4 '' X 1 ' X 4 ',7LC
7LC-BWR550356852.5,BRONZE WEAR RING 5.503 '' X 5.685 '' X 2.5 '',7LC
7LC-BWR6.00.5.418.2.125,BRONZE WEAR RING 6.00 '' X 5.418 '' X 2.125 '' PER DETAIL,7LC
7LC-BWR62515441225,BRONZE WEAR RING,7LC
7LC-CCWVLTGR,CAVCLEAR WEEP VENT LIGHT GRAY (200 PER BOX),7LC
7LC-CCWVRD,CAVCLEAR WEEP VENTS - RED (200 PER BOX),7LC
7LC-CF1211GRAY,CHEMLINK DURASIL GRAY MOISTURE CURING RTV SILICONE SEALANT 10.1 OUNCE TUBE,7LC
7LC-CLANC.4.1.1SS,STAINLESS STEEL 11 GAGE L ANCHOR 4 '' X 1'' LEG X 1 '' WIDE - 5/16 HOLE 3/4'' IN O.C,7LC
7LC-CLF1233,NOVALINK SL GRAY 28 OUNCE SELF - LEVELING SEALANT POLYETHER 12 PER CASE,7LC
7LC-CLF21101-1012WHT,CHEMLINK TRIM CAULK POLYETHER SEALANT #101 WHITE 10.1 OUNCE TUBE 12 PER CASE,7LC
7LC-CLF21505-1012GRAY,CHEMLINK TRIM CAULK POLYETHER SEALANT # 505 GRAY  10.1 OZ TUBE  12 PER CASE,7LC
7LC-CLIP-01,GENERIC STONE ANCHOR CLIP #1,7LC
7LC-CLIP-02,GENERIC STONE ANCHOR CLIP #2,7LC
7LC-CLIP-03,GENERIC STONE ANCHOR CLIP #3,7LC
7LC-CLIP-05,"STONE ANCHOR ''L'' STYLE 11 GAGE STAINLESS
1.5'' WIDE X 8'' LONG X 1'' SHORT LEG W/ 5/16'' HOLE",7LC
7LC-CLIP06,"1.5 X 8 SPLIT TAIL CLIP W/ 5/16 HOLE 11 GAGE STAINLESS
1'' UP/1'' DOWN SPLIT",7LC
7LC-CLIP07,1.5 x 3.5 x 1 16GA ANCHOR,7LC
7LC-CLIP08,STAINLESS STEEL EMBED ANCHOR 2 '' X 6 '' WITH 5/16 '' HOLE,7LC
7LC-CONANGL025X025X025X02400,"1/4'' X 2-1/2'' X 2-1/2'' X 24'' CONNECTION ANGLE HDG
CA1",7LC
7LC-CONPLT025X0200X0300,"1/4'' X 2'' X 3'' CONNECTION PLATE HDG
CP1",7LC
7LC-CORBUC1.12.03512GHDG,CORRUGATED BUCK ANCHOR 1 1/4 '' X 3 1/2 '' X 2 '' BACK WITH 5/16 '' HOLE 12 GAUGE HDG,7LC
7LC-CORBUC1.25.03516DHG,CORRUGATED BUCK ANCHOR 16 GA.  1 1/4 '' WIDE X  3 1/2 '' LONG  WITH 5 /16 '' HOLE  HDG,7LC
7LC-CPT12HAMBIT,8MM X 12 '' HAMMER DRILL BIT,7LC
7LC-CPT5174,CPT TORQUE-TIE # 5174 REPAIR ANCHOR 7.5 '' SHAFT,7LC
7LC-CSPANC.4.1.1.5SS,STAINLESS STEEL SPLIT TAIL 4 '' X 1 '' TAIL X 1-1/2 '' WIDE 5/16 HOLE 3/4'' O.C. 11 GAGE,7LC
7LC-CTAQD30H,Aquadrain 30H Drainage Composite 4 ' X 52 ' ( Vehicular ),7LC
7LC-CTAQDILCORN,Aquadrain 100 BD corner,7LC
7LC-CTAQDILCOUP,Aquadrain 100 BD In - Line Coupler,7LC
7LC-CTAQDILTEE,Aquadrain 100 BD Side Outlet tee,7LC
7LC-CTBENTOSEAL,Bentoseal  Bentonite Trowel Grade Sealant  ( 3 Gallon pail ),7LC
7LC-CTHYDROBAR.02,HYDROBAR TUBES 2 LF BENTONITE FILLED TUBES ( 32 LF PER CTN ),7LC
7LC-CTM2000LQFLS,M-2000 liquid Flashing Trowel Grade Mastic  5 Gallon Pail,7LC
7LC-CTPSETTOOL,CPT LONG LIFE 8MM SDS SETTING TOOL,7LC
7LC-CTPST880,CPT STITCH - TIE 304 STAINLESS STEEL 8MM X 8 '' HELICAL VENEER STABILIZING SYSTEM,7LC
7LC-CTRX101SBPRIM,Waterstop RX - 101 Solvent Base Primer  ( 400 to 600 lf per gallon ),7LC
7LC-CTRX101WBPRIM,Waterstop RX - 101 Water Base Primer  ( 400 to 600 lf per gallon ),7LC
7LC-CTSWELTITE,Swelltite Waterproofing 40 '' X 37 '- 9 '' Roll,7LC
7LC-CTULTRASLBT,ULTRASEAL BT 4 ' X 25 ' ( BELOW GRADE WALLS ),7LC
7LC-CTULTRASLSP.04.25,ULTRASEAL SP 4 ' X 25 ' ( UNDERSLAB ),7LC
7LC-CTULTRASLXP.045.25,ULTRASEAL XP 4 1/2 '' X 25 ' ROLL ACTIVE POLYMER CORE WATERPROOFING,7LC
7LC-CTVCSEAMTAPE,Volclay Seamtape 2 '' X 125 ',7LC
7LC-CTVOLTEXDS,Voltex DS 4 ' X 14 ' - 5 '' Waterproofing Membrane,7LC
7LC-CTWATRSTOPAGE,WATERSTOPPAGE BENTONITE GRAULAR - 50 # BAG,7LC
7LC-CTWSRX101,Waterstop RX - 101 Bentonite Waterstop 3/4 '' X 1 '' X 16'8'' roll,7LC
7LC-CWT16GASS,7/8 '' X 7 ''  16 GAUGE CORRUGATED WALL TIE 304 STAINLESS STEEL,7LC
7LC-CWT22GAG,"22GA X 7/8 X 7 CORRUGATED WALL TIE MILL GALVANIZED
500 PER BOX",7LC
7LC-CWT22GAHDG,7/8 '' x 7 '' CORRUGATED WALL TIE 22 GAUGE HDG,7LC
7LC-DIED202V-55GAL,DIEDRICH 202V VANA-STOP MASONRY CLEANER 55 GALLON DRUM,7LC
7LC-DOWEL037200SS,3/8'' X 2'' STAINLESS STEEL DOWEL,7LC
7LC-DOWEL037300SS-S,3/8'' X 3.00'' STAINLESS STEEL DOWEL WITH 2'' SPRING,7LC
7LC-DS69200,CLEAN STRIP (J-1-A) REACTIVE FORM RELEASE AGENT  55 GALLON DRUM,7LC
7LC-DTTRIO1870303G,DOVETAIL TRIANGULAR TIE 3/16 X 3 X 3 HDG,7LC
7LC-DTTRIO1870303SS,DOVETAIL ANCHOR WITH  3/16 '' X 3 '' X 3 '' VEE TIE STAINLESS STEEL,7LC
7LC-DTTRIO1870404G,DOVETAIL TRIANGULAR TIE 3/16 X 4 X 4 HDG,7LC
7LC-DTTRIO1870505G,DOVETAIL TRIANGULAR TIE 3/16 X 5 X 5 HDG,7LC
7LC-DTTRIO1870606G,DOVETAIL TRIANGULAR TIE 3/16 X 6 X 6 HDG,7LC
7LC-DTTRIO1870707G,DOVETAIL TRIANGULAR TIE 3/16 X 7 X 7 HDG,7LC
7LC-ECC46COLUMNCAP,3.62'' X 5.50'' COLUMN CAP,7LC
7LC-ELASTO-THANE227,"1.5 GALLON KITS ELASTO-THANE 227 
GUNGRADE WHITE",7LC
7LC-EMBPLT037X0400X0600,"3/8'' x 4'' x 6'' EMBED PLATE W/2PCS 1/2'' X 3'' WELD STUDS HDG
EP1",7LC
7LC-EPOXYREBAR,"GRADE 60 EPOXY REINFORCED STEEL CUT, BENT, BUNDLED AND TAGGED PER LIST",7CUST
7LC-EPOXYTYWIR06,6'' EPOXY COATED TY WIRE (5000 PER BNDL),7LC
7LC-F1703CHEMLINK,2 GALLON PAIL CHEMLINK EPDM ADHESIVE,7ADH/EPOXY
7LC-FLAS26G.03.12.12SSIS,26 GAUGE 304 STAINLESS STEEL INSIDE CORNER 3 '' X 12 '' X 12 '',7LC
7LC-FLAS26GA.03.12.12SSOS,26 GAUGE 304 STAINLESS STEEL OUTSIDE CORNER 3 '' X 12 '' X 12 '',7LC
7LC-FLASH.015096AHDSTP,1 1/2 '' STAINLESS STEEL DRIP EDGE WITH LIP AND ADHESIVE STRIP ON BOTH SIDES,7LC
7LC-FLASH.08.0575SS,PREFORMED 304 STAINLESS STEEL FLASHING 8 '' X 5-3/4 '',7LC
7LC-FLASH.12050COPAQFLASH,12 '' X 50 ' COPPER AQUA FLASHING,7LC
7LC-FLASH00120600B,FLASHING 40 ML X 12'' X 50',7LC
7LC-FLASH0012075S,12'' X 75' SANDOSEAL FLASHING,7LC
7LC-FLASH0016075S,16 '' X 75 ' Sandoseal Flashing  ( 100 S.F roll ),7LC
7LC-FLASH0018075FS,SANDELL FLEX - SEAL FLASHING 18 '' X 50 '  ( ELVALOY ),7LC
7LC-FLASH0018075S,18 '' X 75 ' Sandoseal Flashing,7LC
7LC-FLASH001MASTQT,Sando-Seal Mastic Sealant 30 Ounce Tube,7LC
7LC-FLASH001SANPRM5,Sando-Seal Primer S-600 Solvent Based 5 Gallon Pail,7LC
7LC-FLASH0024075S,24 '' X 75 ' SANDO-SEAL FLASHING,7LC
7LC-FLASH0115ISC,PREFORMED STAINLESS STEEL INSIDE CORNER 1-1/2 '' DRIP,7LC
7LC-FLASH0115OSC,PREFORMED STAINLESS STEEL OUTSIDE CORNER 1-1/2 '' DRIP,7LC
7LC-FLASH01625096,Stainless Steel Drip Edge 1 1/2 X 8 ',7LC
7LC-FLASH03096,Stainless Steel Drip Edge  3 '' X 8 ' with 1/4 '' Hem,7LC
7LC-FLASH040001200-SSIROS,Flashing 28 Ga. 4 '' x 1'' x 2 '' Irregular Stainless Steel Outside Corner,7LC
7LC-FLASH040001200-SSIS,Flashing 28 Ga. 4 '' x 1 '' x 2 '' Stainless Steel Inside Corner,7LC
7LC-FLASH040001200-SSOS,28 Ga. Flashing 4 '' x 1 '' x 2 '' Stainless Steel Outside Corner,7LC
7LC-FLASH04096,4 '' STAINLESS STEEL DRIP EDGE,7LC
7LC-FLASH070707OSCRN,7 '' X 8'' X 7 '' SANDOSEAL OUTSIDE CORNER,7LC
7LC-FLASH075002000400-075DIROS,Flashing 28 Ga. 7 1/2 '' x 2 '' x 4 '' with 3/4 '' Drip Stainless Steel Irregular Outside Corner,7LC
7LC-FLASH075002000400-075DIS,Flashing 28 Ga. 7 1/2 '' x 2 '' x 4 '' with 3/4 '' drip Stainless Steel Inside Corner,7LC
7LC-FLASH075002000400-075DOS,Flash 7 1/2 '' x 2 '' x 4 '' with 3/4 '' Drip 28 Ga. Stainless Steel Outside Corner,7LC
7LC-FLASH080808ISCRN,8 '' X 8'' X 8'' SANDOSEAL INSIDE CORNER,7LC
7LC-FLASH12050EPDM,"12"" X 50' EPDM FLASHING",7LC
7LC-FLASH16050EPDM,"16"" X 50' EPDM FLASHING",7LC
7LC-FLASH1850RHBND,18 '' x 50 '  RHINO-BOND ELVALOY FLASHING,7LC
7LC-FLASH18X50EPDM,18 '' X 50 ' EPDM FLASHING,7ADH/EPOXY
7LC-FLASH24050EPDM,"24"" X 50' EPDM FLASHING",7LC
7LC-FLASH26GA0200030009600SS,"2'' X 3'' X 8'   26 GA   STAINLESS STEEL
STONE LEDGE FLASHING",7LC
7LC-FLASH7X5.5X5.5ED,28 Ga. 7 '' x 5 1/2 '' x 5 1/2 '' Stainless Steel End Dam,7LC
7LC-FLASHADHEPDM22.4,EPDM SPARY ADHESIVE 22.4 OUNCE CAN (12 PER CARTON),7LC
7LC-FLASHALUMTERT-2,ALUMINUM TERMINATION BAR T-2  500 LF PER TUBE ( 10 LF PCS.),7LC
7LC-FLASHCOPTUF.031225,COPPER TUFF SA   12 '' X 25 ' SELF - ADHERING COPPER FLASHING  3 OUNCE,7LC
7LC-FLASHPLT.1.5.05.96SS,STAINLESS STEEL FLASHING PLATE 1-1/2 '' X 5 '' X 8 ' 26 GAUGE,7LC
7LC-FLASHPLT1.5.6.5SS,STAINLESS STEEL FLASHING PLATE 6 -1/2 '' WITH 1-1/2 '' LEG,7LC
7LC-FLASHPLT1.5.6.75SS,STAINLESS STEEL FLASHING PLATE 1-1/2 '' 90  UP X 6-3/4 '' BASE,7LC
7LC-FLASHTAPE1.5.50,"EPDM FLASHING TAPE 1-1/2 "" X 50 ' ROLL (4 ROLLS/CARTON)",7LC
7LC-FOAM050400PS,1/2 '' X 4 '' X 50 FT Roll Non-Crosslink Poly Foam With Pull Strip,7LC
7LC-FOAM3750300PS,"3/8 X 3'' X  50ft  ROLL  NON-CROSSLINK POLY FOAM
WITH PEEL TOP (20 ROLLS PER BAG)",7LC
7LC-FOAM55GAL-PARTA,"BASF 2-Part Foam  (Part A)  R=15 is 2.25'' thick  (Coverage approx 3700 sq ft)
55 gal drum  Wt. 551 #'s
Non-Haz Material  Class 60 Freight",7LC
7LC-FOAM55GAL-PARTB,"BASF 2-Part Foam  (Part B)  R=15 is 2.25'' thick  Coverage (approx 3700 sq ft)
55 gal drum  Wt. 500 #'s
Non-Haz Material  Class 60 Freight",7LC
7LC-FULR07548009600SB250,"3/4 '' x 4 ' x 8 ' Foamular 250 Scored Board 
1 Sht=32 Brd Ft.
16 Shts/Bld     128 Shts/Pallet",7LC
7LC-FULR10048009600SB250,"1 '' x 4 ' x 8 ' Foamular 250 Scored Board (270644)
(1 Sht = 32 Brd Ft)  Wt =  4.48 #'s
12 Shts/Bdl     96 Shts/Pallet",7LC
7LC-FULR10048009600TG250,"1 '' x 4 ' x 8 ' Foamular 250 (270644) Tongue & Groove
(1 Sht = 32 Brd Ft)  Wt =  4.48 #'s
12 Shts/Bdl     96 Shts/Pallet",7LC
7LC-FULR15048009600SB250,"1-1/2 '' x 4 ' x 8 ' Foamular 250 Scored Board  (270612)
(1 Sht = 48 Brd Ft)  Wt = 6.72 #'s
8 Shts/Bdl     64 Shts/Pallet",7LC
7LC-FULR150480096TG150,1 1/2 '' X 4 ' X 8 ' FOAMULAR 150 TONGUE AND GROOVE,7LC
7LC-FULR2004009600SB400,2 '' X 4 ' X 8 ' FOAMULAR 400,7LC
7LC-FULR20048009600SB250,"2 '' x 4 ' x 8 ' Foamular 250 Scored Board  (270290)
(1 Sht = 64 Brd Ft)  Wt = 8.96 #'s
6 Shts/Bdl     48 Shts/Pallet",7LC
7LC-FULR25048009600SB250,"2-1/2 '' x 4 ' x 8 ' Foamular 250 Scored Board  (340570)
(1 Sht = 80 Brd Ft)  Wt = 10.4 #'s
9 Shts/Bdl     36 Shts/Pallet",7LC
7LC-FULR30048009600SB250,"3 '' x 4 ' x 8 ' Foamular 250 Scored Board  (270447)
(1 Sht = 96 Brd Ft)  Wt = 13.44 #'s
4 Shts/Bdl     32 Shts/Pallet",7LC
7LC-FULR-BILD-R-TAPE1.875,"1 7/8 x 55yd Foamular Construction Tape
16 rolls per carton",7LC
7LC-FULSTAP.06.02.06,STAPLES 6 '' X 2 '' X 6 '' (FULL BOX ONLY 1000 PER BOX),7LC
7LC-FUTYPE42501.5,1-1/2 '' X 4 ' X 8 ' TYPE IV 25 PSI SCORE BOARD INSULATION,7LC
7LC-FUTYPE42502,2 '' x 4 ' x 8 ' TYPE IV 25 PSI SCORE BOARD INSULATION,7LC
7LC-GROUTSTOP08,Grout Stop For 8 Block,7LC
7LC-GROUTSTOP12,Grout Stop For 12 Block,7LC
7LC-HARDHATGREEN,GREEN HARD HAT WITH 6 - POINT RATCHET,7LC
7LC-HB1275FF,HOHMANN & BARNARD 12 '' X 75 '  FLEX - FLASH,7LC
7LC-HB1875FF,HOHMANN & BARNARD 18 '' X 75 ' FLEX-FLASH,7LC
7LC-HB1ISCORNFF,FLEX-FLASH PREFORMED INSIDE CORNER,7LC
7LC-HB1OSCORN,FLEX-FLASH PREFORMED OUTSIDE CORNER,7LC
7LC-HB2SEAL.04PINTLEHDG,3/16 '' X 4 '' THERMAL 2-SEAL PINTLE HDG,7LC
7LC-HB2SEAL.05WIRETIEHDG,HOHMANN & BARNARD 2-SEAL WIRE TIE PINTAL 5 '' HDG,7LC
7LC-HB2SEAL.625,HOHMANN-BARNARD 2-SEAL TIE 0 INSULATION FOR CONCRETE,7LC
7LC-HB2SEALCHUCKADAP,HOHMANN-BARNARD 2-SEAL CHUCK ADAPTOR,7LC
7LC-HB2SEALTMANC1.5,HOHMANN & BARNARD 2-SEAL THERMAL WING NUT (WOOD) 1-1/2 '' INSULATION,7LC
7LC-HB342,HOHMANN AND BARNARD # 342  STANDARD RECTANGULAR WEEP 3/8''X1-1/2''X3-1/2'' CLEAR,7LC
7LC-HB34425.15.24.2.2HDG,#344 Z ANCHOR 1/4 '' X 1-1/2 '' X 24 '' X 2 '' UP X 2 '' DOWN HDG,7LC
7LC-HB345SV.07STDHDG,HOHMANN & BARNARD SEISMIC VENEER ANCHOR # 345SV STD 1-1/4 '' X 14 GAUGE X 7 '' HDG,7LC
7LC-HB3PCSTOOLKIT,HOHMANN-BARNARD 3 PCS. TORQ-LOK TOOL SET,7LC
7LC-HB9GACONTHDG,HOHMANN & BARNARD 9 GAUGE CONTINUOUS WIRE 10 ' LENGTHS HDG,7LC
7LC-HBBYNALOKWIRTIE.1875.04,HOHMANN-BARNARD 3/16'' X 4 '' BYNA-LOK WIRE TIE HDG,7LC
7LC-HBCHT.1605NAHDG,HOHMANN & BARNARD 16 GAUGE X 5 '' SEISMIC-NOTCH ANCHOR HDG,7LC
7LC-HBCHT.625120HDG,HOHMANN & BARNARD CHANNEL-TEE 5/8 PROFILE CHANNEL 10 ' LENGTHS HDG,7LC
7LC-HBDA213/HB200-1475HHG,DA213 FOR 1'' INSULATION W/ 4 3/4 PINTEL HDG,7LC
7LC-HBPLT18GA6.6HDG,18 GAUGE 6'' X 6'' WITH 3/8'' MAX CORRUGATED PLATE HDG,7LC
7LC-HBQVBLACK,HOHMANN & BARNARD QUADRO VENT BLACK,7LC
7LC-HBQVJUMBOCOCOA,HOHMANN & BARNARD QUADRO-VENT JUMBO COCOA  200 PER BOX,7LC
7LC-HBQVSTDCOCOA,HOHMANN & BARNARD QUADRO-VENT STANDARD COCOA  200 PER BOX,7LC
7LC-HBRS86-.875RUB,H&B RS-8 RUBBER CONTROL JOINT,7LC
7LC-HBTORLOK5.5,HOHMANN-BARNARD TORQ-LOK REPAIR ANCHOR 5-1/2'' SHAFT LENGHT (25 PCS. PER PACKAGE),7LC
7LC-HBXSL1.5HDG,HOHMANN & BARNARD X-SEAL ANCHOR w/ 1 1/2 Leg HDG,7LC
7LC-HD5ASIMPSON,SIMPSON STRONG - TIE HD5A,7LC
7LC-HE001000,Chopper  Gun,7CONCRETE
7LC-HE002000,Tote cutter valve,7CONCRETE
7LC-HE006SG651,Air Bloc  06 Spray Grade   55 Gal/205 L  480 lbs Drum,7LC
7LC-HE007AA088,Air Bloc 07 - Trowel Grade     55 Gal/205 L   450 lbs,7CONCRETE
7LC-HE007AA370,Air Bloc 07 - Trowel Grade  5 Gal / 18.93 L   41.00,7CONCRETE
7LC-HE00L000,Liqu-set  cutter valve,7CONCRETE
7LC-HE021AA576,Air Bloc 21 Trowel Grade    5GAL/18.93      55.00 LBS,7LC
7LC-HE021FR576,Air Bloc 21FR Trowel Grade   5 Gal / 18.93  L  66Lbs,7CONCRETE
7LC-HE021SG088,Air Bloc 21S Spray Grade  55 Gal / 205 L 55Lbs,7LC
7LC-HE021SG576,Air Bloc 21S Spray Grade  5 Gal / 18.93 L   49 Lbs,7CONCRETE
7LC-HE031074,"AIR BLOC 31 BRSH/SPRAY GRADE
5 GAL/18.93 L.",7LC
7LC-HE031093,AIR BLOC 31 BRUSH/SPRAY GRADE 55 GAL.,7LC
7LC-HE032074,Air Bloc 32   5 Gal / 18.93 L    48 LBS,7ADH/EPOXY
7LC-HE032093,HENRY AIR BLOC 32 55 GALLON DRUMS,7LC
7LC-HE033074,Air  Bloc 33  5Gal / 18.93 L   63 Lbs,7LC
7LC-HE033093,Air Bloc 33  55 Gal / 205 L   650 Lbs,7CONCRETE
7LC-HE06AB074,"Henry Air Bloc 06WB Water Based Air Barrier 
Spray or Brush Grade Non-Perm 5 Gallon Pail",7LC
7LC-HE06AB088,Air Bloc 06WB - Waterbase  55Gal / 205 L    550  Lbs,7LC
7LC-HE100GUSA962,Blueskin vp  100sa-blue   24inx100ft  Roll,7CONCRETE
7LC-HE100GUSA987,BlueskinVP  100sa-blue     12inx100ft    roll,7CONCRETE
7LC-HE100GUSA991,Blueskin  VP   100SA-blue 60inx100ft  Roll,7CONCRETE
7LC-HE100GWSA984,Blueskin  100 white  Flashing    9inx100ft Roll,7CONCRETE
7LC-HE100GWSA994,BlueskinVP  100  white  flashing  4inx100ft  Roll,7CONCRETE
7LC-HE100GWSA995,BlueskinVP  100  white  flashing,7CONCRETE
7LC-HE102046,Aqua prime      Gallon,7CONCRETE
7LC-HE104042,Asphalt Primer,7CONCRETE
7LC-HE104Q027,Quickdry asphalt primer (aerosol can 17oz),7CONCRETE
7LC-HE112075,Metalshield rust inhibiting rubber based primer  5gal/18.93L,7CONCRETE
7LC-HE160GUSA941,HENRY BLUESKIN VP 160  4' X 100',7LC
7LC-HE160GUSA963,BlueskinVP  160SA  24inx100ft Roll,7CONCRETE
7LC-HE160GUSA982,BlueskinVP   160SA-blue 60inx100ft Roll,7CONCRETE
7LC-HE160GUSA988,Blueskin  160 SA-Blue  12inx100ft   Roll,7CONCRETE
7LC-HE176603,Pond patch    23LBS.  pail,7CONCRETE
7LC-HE181195,Saturated Glass Fabric    4inx150ft    Roll,7CONCRETE
7LC-HE181197,Saturated glass fabric         6inx150ft roll,7CONCRETE
7LC-HE181910,Saturated glass fabric   36inx150ft   roll,7CONCRETE
7LC-HE183195,"HENRY #183 YELLOW GLASS
FABRIC 4'' X 150' ROLL",7LC
