4-141U-ANCHOR0150X0368-SHTGALV,"U-Type Stone Anchor
1-1/2'' W x 3-11/16 L w/1/4'' hole on 1-1/2 leg & 3/4'' opposing leg",4CUST
414GA-HR48X48,14GA x 48'' x 48'' PLAIN HOT ROLL SHEET     ( cut from 4' x 8' sheet ),4MAT
415410274072,.274 CR 1541 (5/16-18) X 6' .272-.275 GRD 5 EQ.,4MAT
415410274COIL,.274 CR 1541 (5/16-18) X COIL .272-.275 GRD 5 EQ.,4MAT
415410312DRAW,5/16 HR 1541 (5-16-18/24) X COIL .296-.312,4MAT
41541033100300,.331 CR 1541 (3/8-16) X 30'',4MAT
41541033100400,.331 CR 1541 (3/8-16) X 40'',4MAT
415410331COIL,.331 CR 1541 (3/8-16) X COIL .329-.332 GRD 5 EQ.,4MAT
415410355DRAW,"3/8 HR 1541 (3/8-16) X COIL .355 +/- 002
BLACK PHOS. COATING",4MAT
415410375DRAW,3/8 HR 1541 (3/8-16) X COIL .354-.375,4MAT
415410375DRAW-BRITTLE,3/8 HR 1541 (3/8-16) X COIL .354-.375,4MAT
415410387COIL,.387 CR 1541 (7/16-14) X COIL .386-.389 GRD 5 EQ.,4MAT
41541044325.56,.443 CR 1541 (1/2-13) X COIL .441-.443 GD 5 EQ,4MAT
415410443COIL,.443 CR 1541 (1/2-13) X COIL .441-.443 GD 5 EQ,4MAT
415410445072,.445 CR 1541 (1/2-13) X 6' ROUND,4MAT
415410445144,.445 CR 1541 (1/2-13) X 12' ROUND,4MAT
415410464240,.464 CR 1541 (1/2-20) X 20' ROUND .464-.461,4MAT
415410485COIL,.485 CR 1541 (1/2-13) X COIL .480-.485 GD 5 EQ,4MAT
415410500DRAW,1/2 HR 1541 (1/2-13) X COIL .484-.500 GRD 5 EQ.,4MAT
415410500DRAWGREEN,1/2 HR 1541 X COIL .484-.500 GREEN ROD,4MAT
415410560240,.560 CR 1541 (5/8-11) X 20' ROUND .560-.563 GRD 5 EQ.,4MAT
415410680156,.680 CR 1541 (3/4-10) X 13' ROUND .679-.682 GRD 5 EQ.,4MAT
415410680240,.680 CR 1541 (3/4-10) X 20' ROUND .679-.682 GRD 5 EQ.,4MAT
415410705144,.705 CR 1541 (3/4-16) X 12' ROUND .704-.706 GRD 5 EQ.,4MAT
415410706240,.706 CR1541 (3/4-16) x 20' ROUND .704-.707,4MAT
415410800235,.800 CR 1541 (7/8-9) X 235'' ROUND .796-.800 GRD 5 EQ.,4MAT
415410800240,.800 CR 1541 (7/8-9) X 240'' ROUND .796-.800 GRD 5 EQ.,4MAT
415410915240,.915 CR 1541 (1''-8)  X 20' ROUND .912-.915 GRD 5 EQ.,4MAT
416GA-0100X06000HDG,16GA x 1'' x 60 '' Sheet Metal Strip HDG,4MAT
416GA-0150X06000HDG,16GA x 1-1/2'' x 60 '' Sheet Metal Strip HDG,4MAT
4300S04370144,7/16 x 12' 300 SERIES STAINLESS STEEL .435-.437      32 MICRON FINISH,4MAT
